DEVICE,TRAIN-BOTNET,TEST-BOTNET,CLASSIFIER,ACCURACY,PRECISION,RECALL,F1-SCORE,FALSE-P,FALSE-N
Danmini_Doorbell,gafgyt,mirai,KNN,0.5817,0.5719,0.7739,0.4808,113,293376
Danmini_Doorbell,mirai,gafgyt,KNN,0.3731,0.5873,0.6357,0.3663,212,229368
Ecobee_Thermostat,gafgyt,mirai,KNN,0.5533,0.5256,0.7625,0.401,227,234425
Ecobee_Thermostat,mirai,gafgyt,KNN,0.3516,0.5278,0.6536,0.2998,234,209684
Philips_Baby_Monitor,gafgyt,mirai,KNN,0.5988,0.6785,0.7417,0.5892,55,315246
Philips_Baby_Monitor,mirai,gafgyt,KNN,0.5291,0.6987,0.6288,0.514,3044,226720
737E_Security_Cam,gafgyt,mirai,KNN,0.6729,0.6377,0.8124,0.6013,115,162822
737E_Security_Cam,mirai,gafgyt,KNN,0.4402,0.607,0.6634,0.4311,613,218958
838_Security_Cam,gafgyt,mirai,KNN,0.6655,0.6784,0.7934,0.634,246,176339
838_Security_Cam,mirai,gafgyt,KNN,0.4753,0.6514,0.6502,0.4753,1102,212744
1002_Security_Cam,gafgyt,mirai,KNN,0.4983,0.5708,0.7253,0.4361,110,280732
1002_Security_Cam,mirai,gafgyt,KNN,0.3926,0.5877,0.6467,0.3825,322,212156
1003_Security_Cam,gafgyt,mirai,KNN,0.4892,0.5332,0.7336,0.3821,55,272895
1003_Security_Cam,mirai,gafgyt,KNN,0.3693,0.5414,0.6623,0.3259,121,211759
Danmini_Doorbell,gafgyt,mirai,RFR,1.0,1.0,1.0,1.0,0,0
Danmini_Doorbell,mirai,gafgyt,RFR,0.4572,0.5998,0.6861,0.4376,0,198780
Ecobee_Thermostat,gafgyt,mirai,RFR,1.0,0.9991,1.0,0.9995,0,24
Ecobee_Thermostat,mirai,gafgyt,RFR,0.3825,0.5308,0.6782,0.3208,0,199909
Philips_Baby_Monitor,gafgyt,mirai,RFR,0.9049,0.8505,0.9388,0.8795,0,74724
Philips_Baby_Monitor,mirai,gafgyt,RFR,0.5805,0.7306,0.6727,0.5723,0,204723
737E_Security_Cam,gafgyt,mirai,RFR,1.0,1.0,1.0,1.0,0,4
737E_Security_Cam,mirai,gafgyt,RFR,0.4678,0.6147,0.6838,0.4554,0,208751
838_Security_Cam,gafgyt,mirai,RFR,0.9938,0.9838,0.9962,0.9899,0,3292
838_Security_Cam,mirai,gafgyt,RFR,0.5165,0.6667,0.6812,0.516,0,197036
1002_Security_Cam,gafgyt,mirai,RFR,0.9999,0.9995,1.0,0.9997,0,50
1002_Security_Cam,mirai,gafgyt,RFR,0.4479,0.5972,0.6815,0.4291,0,193124
1003_Security_Cam,gafgyt,mirai,RFR,0.952,0.7162,0.9751,0.7891,0,25634
1003_Security_Cam,mirai,gafgyt,RFR,0.4015,0.5443,0.6823,0.3485,0,201066
Danmini_Doorbell,gafgyt,mirai,DTR,0.9945,0.9641,0.9971,0.9799,0,3829
Danmini_Doorbell,mirai,gafgyt,DTR,0.4562,0.5996,0.6855,0.4368,0,199147
Ecobee_Thermostat,gafgyt,mirai,DTR,0.9626,0.7001,0.9808,0.776,0,19653
Ecobee_Thermostat,mirai,gafgyt,DTR,0.3821,0.5308,0.678,0.3205,0,200033
Philips_Baby_Monitor,gafgyt,mirai,DTR,0.9519,0.9113,0.9691,0.9354,0,37801
Philips_Baby_Monitor,mirai,gafgyt,DTR,0.5366,0.7183,0.6385,0.5208,0,226115
737E_Security_Cam,gafgyt,mirai,DTR,0.8865,0.7619,0.9352,0.8091,0,56522
737E_Security_Cam,mirai,gafgyt,DTR,0.468,0.6147,0.6839,0.4555,0,208694
838_Security_Cam,gafgyt,mirai,DTR,0.8877,0.8122,0.931,0.8473,0,59277
838_Security_Cam,mirai,gafgyt,DTR,0.5157,0.6665,0.6806,0.5152,0,197390
1002_Security_Cam,gafgyt,mirai,DTR,0.9995,0.9971,0.9997,0.9984,0,272
1002_Security_Cam,mirai,gafgyt,DTR,0.4496,0.5974,0.6825,0.4305,0,192544
1003_Security_Cam,gafgyt,mirai,DTR,0.8256,0.5866,0.9095,0.5979,0,93203
1003_Security_Cam,mirai,gafgyt,DTR,0.3987,0.5441,0.6808,0.3466,0,202008
Danmini_Doorbell,gafgyt,mirai,ADB,1.0,1.0,1.0,1.0,0,3
Danmini_Doorbell,mirai,gafgyt,ADB,0.4546,0.5994,0.6846,0.4355,0,199734
Ecobee_Thermostat,gafgyt,mirai,ADB,0.9209,0.62,0.9595,0.6724,0,41527
Ecobee_Thermostat,mirai,gafgyt,ADB,0.382,0.5308,0.678,0.3204,0,200069
Philips_Baby_Monitor,gafgyt,mirai,ADB,0.7804,0.7519,0.8587,0.7527,0,172609
Philips_Baby_Monitor,mirai,gafgyt,ADB,0.5366,0.7183,0.6385,0.5208,0,226115
737E_Security_Cam,gafgyt,mirai,ADB,0.9943,0.978,0.9967,0.9871,0,2855
737E_Security_Cam,mirai,gafgyt,ADB,0.4678,0.6147,0.6838,0.4554,0,208741
