DEVICE,BOTNET,CLASSIFIER,TRAIN-SIZE-A,TEST-SIZE-B,ACCURACY,PRECISION,RECALL,F1-SCORE,FALSE-P,FALSE-N
Danmini_Doorbell,gafgyt,KNN,10,2,0.8647,0.4323,0.5,0.4637,49546,0
Danmini_Doorbell,gafgyt,RFR,10,2,0.9674,0.9714,0.8873,0.9236,11023,926
Danmini_Doorbell,gafgyt,DTR,10,2,0.9583,0.9634,0.8553,0.8995,14162,1103
Danmini_Doorbell,gafgyt,ADB,10,2,0.9673,0.9712,0.8872,0.9235,11027,938
Danmini_Doorbell,gafgyt,KNN,50,8,0.9937,0.9964,0.9766,0.9862,2316,0
Danmini_Doorbell,gafgyt,RFR,50,8,0.996,0.9885,0.9944,0.9914,385,1097
Danmini_Doorbell,gafgyt,DTR,50,8,0.9914,0.9858,0.9774,0.9815,2077,1064
Danmini_Doorbell,gafgyt,ADB,50,8,0.9962,0.9881,0.9958,0.9919,239,1160
Danmini_Doorbell,gafgyt,KNN,100,16,0.9937,0.9964,0.9766,0.9862,2318,0
Danmini_Doorbell,gafgyt,RFR,100,16,0.9968,0.9897,0.9968,0.9932,157,1017
Danmini_Doorbell,gafgyt,DTR,100,16,0.9925,0.9856,0.9824,0.984,1556,1173
Danmini_Doorbell,gafgyt,ADB,100,16,0.9934,0.9962,0.9756,0.9856,2422,0
Danmini_Doorbell,gafgyt,KNN,500,78,0.9934,0.9962,0.9756,0.9856,2413,0
Danmini_Doorbell,gafgyt,RFR,500,78,0.996,0.9881,0.9952,0.9916,291,1151
Danmini_Doorbell,gafgyt,DTR,500,78,0.9994,0.9979,0.9996,0.9988,7,206
Danmini_Doorbell,gafgyt,ADB,500,78,0.9994,0.9979,0.9996,0.9988,7,206
Danmini_Doorbell,gafgyt,KNN,1000,156,0.9938,0.9904,0.9833,0.9868,1542,690
Danmini_Doorbell,gafgyt,RFR,1000,156,0.9993,0.9979,0.9992,0.9985,51,203
Danmini_Doorbell,gafgyt,DTR,1000,156,0.9994,0.9979,0.9996,0.9988,7,205
Danmini_Doorbell,gafgyt,ADB,1000,156,0.9994,0.9979,0.9996,0.9988,7,205
Danmini_Doorbell,gafgyt,KNN,5000,782,0.9943,0.9916,0.9847,0.9881,1401,581
Danmini_Doorbell,gafgyt,RFR,5000,782,0.9996,0.9989,0.9996,0.9992,26,103
Danmini_Doorbell,gafgyt,DTR,5000,782,0.9997,0.9991,0.9998,0.9994,7,87
Danmini_Doorbell,gafgyt,ADB,5000,782,0.9996,0.9989,0.9994,0.9991,46,104
Danmini_Doorbell,gafgyt,KNN,10000,1565,0.9958,0.992,0.991,0.9915,752,635
Danmini_Doorbell,gafgyt,RFR,10000,1565,0.9997,0.9994,0.9995,0.9995,36,52
Danmini_Doorbell,gafgyt,DTR,10000,1565,0.9994,0.9991,0.9984,0.9987,148,57
Danmini_Doorbell,gafgyt,ADB,10000,1565,0.9996,0.9995,0.999,0.9993,92,28
Danmini_Doorbell,gafgyt,KNN,50000,7824,0.9977,0.9964,0.9962,0.9963,264,235
Danmini_Doorbell,gafgyt,RFR,50000,7824,0.9999,0.9997,0.9999,0.9998,3,22
Danmini_Doorbell,gafgyt,DTR,50000,7824,0.9998,0.9998,0.9997,0.9998,19,14
Danmini_Doorbell,gafgyt,ADB,50000,7824,0.9999,0.9999,1.0,0.9999,1,10
Danmini_Doorbell,gafgyt,KNN,100000,15648,0.998,0.9979,0.9971,0.9975,169,76
Danmini_Doorbell,gafgyt,RFR,100000,15648,0.9999,0.9999,0.9999,0.9999,5,2
Danmini_Doorbell,gafgyt,DTR,100000,15648,0.9998,0.9998,0.9998,0.9998,13,10
Danmini_Doorbell,gafgyt,ADB,100000,15648,1.0,0.9999,1.0,0.9999,0,6
Danmini_Doorbell,gafgyt,KNN,200000,31295,0.9976,0.9977,0.9975,0.9976,84,7
Danmini_Doorbell,gafgyt,RFR,200000,31295,1.0,1.0,1.0,1.0,0,0
Danmini_Doorbell,gafgyt,DTR,200000,31295,1.0,1.0,1.0,1.0,1,0
Danmini_Doorbell,gafgyt,ADB,200000,31295,1.0,1.0,1.0,1.0,0,0
Danmini_Doorbell,mirai,KNN,10,1,0.9294,0.4647,0.5,0.4817,49547,0
Danmini_Doorbell,mirai,RFR,10,1,0.9965,0.998,0.9751,0.9862,2469,10
Danmini_Doorbell,mirai,DTR,10,1,0.9902,0.9393,0.9948,0.9651,0,6844
Danmini_Doorbell,mirai,ADB,10,1,0.9902,0.9393,0.9948,0.9651,0,6844
Danmini_Doorbell,mirai,KNN,50,4,0.9734,0.8711,0.9593,0.9095,2830,15845
Danmini_Doorbell,mirai,RFR,50,4,0.9999,0.9995,1.0,0.9997,0,51
Danmini_Doorbell,mirai,DTR,50,4,0.9999,0.9995,1.0,0.9997,0,51
Danmini_Doorbell,mirai,ADB,50,4,0.9999,0.9995,1.0,0.9997,0,51
Danmini_Doorbell,mirai,KNN,100,8,0.9957,0.9977,0.9693,0.983,3040,0
Danmini_Doorbell,mirai,RFR,100,8,0.9999,0.9994,1.0,0.9997,0,56
Danmini_Doorbell,mirai,DTR,100,8,0.9996,0.9995,0.9979,0.9987,210,37
Danmini_Doorbell,mirai,ADB,100,8,0.9999,0.9993,1.0,0.9996,0,65
Danmini_Doorbell,mirai,KNN,500,38,0.9957,0.9977,0.9694,0.983,3033,0
Danmini_Doorbell,mirai,RFR,500,38,0.9999,0.9994,1.0,0.9997,0,56
Danmini_Doorbell,mirai,DTR,500,38,0.9999,0.9995,1.0,0.9997,0,51
Danmini_Doorbell,mirai,ADB,500,38,0.9999,0.9995,1.0,0.9997,0,51
Danmini_Doorbell,mirai,KNN,1000,76,0.9967,0.9943,0.9802,0.9872,1928,400
Danmini_Doorbell,mirai,RFR,1000,76,0.9999,0.9994,1.0,0.9997,0,56
Danmini_Doorbell,mirai,DTR,1000,76,0.9998,0.9995,0.999,0.9993,96,40
Danmini_Doorbell,mirai,ADB,1000,76,0.9998,0.9995,0.999,0.9993,96,40
Danmini_Doorbell,mirai,KNN,5000,380,0.9969,0.9942,0.9824,0.9882,1696,424
Danmini_Doorbell,mirai,RFR,5000,380,0.9999,0.9994,1.0,0.9997,0,56
Danmini_Doorbell,mirai,DTR,5000,380,0.9999,0.9993,0.9999,0.9996,0,66
Danmini_Doorbell,mirai,ADB,5000,380,0.9999,0.999,0.9999,0.9995,0,99
Danmini_Doorbell,mirai,KNN,10000,760,0.9973,0.9944,0.9858,0.9901,1349,431
