DEVICE,BOTNET,CLASSIFIER,TRAIN-SIZE-A,FALSE-P,FALSE-N,Total Wrong Predictions
,,,,,,
Danmini_Doorbell,gafgyt,KNN,10,1855,61493,63348
Danmini_Doorbell,gafgyt,RFR,10,361,1093,1454
Danmini_Doorbell,gafgyt,DTR,10,906,2235,3141
Danmini_Doorbell,gafgyt,ADB,10,1180,404,1584
Danmini_Doorbell,gafgyt,KNN,50,2307,0,2307
Danmini_Doorbell,gafgyt,RFR,50,216,1138,1354
Danmini_Doorbell,gafgyt,DTR,50,7,206,213
Danmini_Doorbell,gafgyt,ADB,50,1646,999,2645
Danmini_Doorbell,gafgyt,KNN,100,2367,0,2367
Danmini_Doorbell,gafgyt,RFR,100,193,848,1041
Danmini_Doorbell,gafgyt,DTR,100,7,206,213
Danmini_Doorbell,gafgyt,ADB,100,7,206,213
Danmini_Doorbell,gafgyt,KNN,500,777,1089,1866
Danmini_Doorbell,gafgyt,RFR,500,25,628,653
Danmini_Doorbell,gafgyt,DTR,500,94,88,182
Danmini_Doorbell,gafgyt,ADB,500,57,119,176
Danmini_Doorbell,gafgyt,KNN,1000,826,1044,1870
Danmini_Doorbell,gafgyt,RFR,1000,6,763,769
Danmini_Doorbell,gafgyt,DTR,1000,3,227,230
Danmini_Doorbell,gafgyt,ADB,1000,0,207,207
Danmini_Doorbell,gafgyt,KNN,5000,108,859,967
Danmini_Doorbell,gafgyt,RFR,5000,7,201,208
Danmini_Doorbell,gafgyt,DTR,5000,7,201,208
Danmini_Doorbell,gafgyt,ADB,5000,7,201,208
Danmini_Doorbell,gafgyt,KNN,10000,92,770,862
Danmini_Doorbell,gafgyt,RFR,10000,0,62,62
Danmini_Doorbell,gafgyt,DTR,10000,6,70,76
Danmini_Doorbell,gafgyt,ADB,10000,1,35,36
Danmini_Doorbell,gafgyt,KNN,20000,40,639,679
Danmini_Doorbell,gafgyt,RFR,20000,0,47,47
Danmini_Doorbell,gafgyt,DTR,20000,2,44,46
Danmini_Doorbell,gafgyt,ADB,20000,0,35,35
Danmini_Doorbell,gafgyt,KNN,40000,21,415,436
Danmini_Doorbell,gafgyt,RFR,40000,0,19,19
Danmini_Doorbell,gafgyt,DTR,40000,0,24,24
Danmini_Doorbell,gafgyt,ADB,40000,0,3,3
Danmini_Doorbell,gafgyt,KNN,50000,0,338,338
Danmini_Doorbell,gafgyt,RFR,50000,0,23,23
Danmini_Doorbell,gafgyt,DTR,50000,0,24,24
Danmini_Doorbell,gafgyt,ADB,50000,0,11,11
Danmini_Doorbell,mirai,KNN,10,2476,355604,358080
Danmini_Doorbell,mirai,RFR,10,0,533,533
Danmini_Doorbell,mirai,DTR,10,0,51,51
Danmini_Doorbell,mirai,ADB,10,0,121,121
Danmini_Doorbell,mirai,KNN,50,2164,33298,35462
Danmini_Doorbell,mirai,RFR,50,0,67,67
Danmini_Doorbell,mirai,DTR,50,0,51,51
Danmini_Doorbell,mirai,ADB,50,0,76,76
Danmini_Doorbell,mirai,KNN,100,2814,17407,20221
Danmini_Doorbell,mirai,RFR,100,0,51,51
Danmini_Doorbell,mirai,DTR,100,0,2591,2591
Danmini_Doorbell,mirai,ADB,100,0,104,104
Danmini_Doorbell,mirai,KNN,500,1309,462,1771
